module_id,code,name,filtered_data
4077,POLI-197SD,Local Internship Pol Sci,POLI197SD
4087,COMM-103D,Documentary History & Theory,COMM103D
4117,MATH-218,Seminar/Math of Bio Systems,MATH218
4120,MATH-220A,Complex Analysis,MATH220A
4130,ENG-005,Orientation to Engr Profession,ENG5
4133,ENG-010,Fundamentals/Engineering Appln,ENG10
4138,ENG-015,Engineer Your Success,ENG15
4143,EDS-289D,Disseration Writing Seminar,EDS289D
4147,ENG-020,Intro to Engineering Research,ENG20
4149,POLI-204A,Research Design,POLI204A
4150,POLI-204B,Quantitative Methods,POLI204B
4167,COMM-106G,CI: Tourism - Global Industry,COMM106G
4187,MATH-231A,Partial Diff Equations I,MATH231A
4240,EDS-299,Dissertation Research,EDS299
4257,MATH-240A,Real Analysis I,MATH240A
4265,GPEC-431,Fiscal and Monetary Policy,GPEC431
4272,ENVR-110,Environmental Law,ENVR110
4293,TDAC-101,Acting I,TDAC101
4294,MATH-243,Seminar in Functional Analysis,MATH243
4299,TDAC-108,Advanced Topics,TDAC108
4303,GPPS-433,Debating US Security Policy,GPPS433
4330,ENVR-152,IndigenousApproach/ClimChange,ENVR152
4335,MATH-248,Seminar in Real Analysis,MATH248
4336,TDAC-115,Movement for Actors,TDAC115
4338,GPEC-435,Topics in International Trade,GPEC435
4344,MATH-250A,Differential Geometry,MATH250A
4348,TDAC-122,Ensemble: Undergrad Production,TDAC122
4372,MATH-257A,Topics in Diff Geometry,MATH257A
4383,TDMV-001,Beginning Ballet,TDMV1
4392,TDMV-002,Beginning Contemporary Dance,TDMV2
4393,ERC-088,Learn Sustainable Well-being,ERC88
4396,MATH-258,Seminar/Differential Geometry,MATH258
4402,MATH-259A,Geometrical Physics,MATH259A
4406,TDMV-003,Beginning Jazz,TDMV3
4450,MATH-262A,Topics in Combinatorial Math,MATH262A
4459,GPPS-441,Government and Regulation,GPPS441
4471,SIO-030,The Oceans,SIO30
4475,MATH-264A,Combinatorics,MATH264A
4478,GPPS-442,Foundations/Strategic Studies,GPPS442
4480,SIO-001,The Planets,SIO1
4499,GPEC-443,GIS & Spatial Data Analysis,GPEC443
4509,MATH-269,Seminar in Combinatorics,MATH269
4513,MATH-270A,Numerical Linear Algebra,MATH270A
4528,MATH-271A,Numerical Optimization,MATH271A
4530,POLI-240,International Relations Theory,POLI240
4532,SIO-040,Life and Climate on Earth,SIO40
4541,SIO-015,Natural Disasters,SIO15
4543,MATH-272A,Numer Partial Diff Equatns I,MATH272A
4547,TDDE-130,Assistant Designer,TDDE130
4584,COMM-010,Introduction to Communication,COMM10
4587,TDDR-108,Text Analysis/Actors&Directors,TDDR108
4597,COMM-101,Intro Audio-Vis Media Practice,COMM101
4605,SIO-050,Intro to Physical Geology,SIO50
4608,TDGE-010,Theatre and Film,TDGE10
4609,POLI-256,RaceClassInstit/Amer Pol. Econ,POLI256
4616,TDGE-001,Introduction to Theatre,TDGE1
4625,MATH-278A,Seminar/Computatl&Applied Math,MATH278A
4630,MATH-278B,Seminar/Math Info/Data/Signals,MATH278B
4633,MATH-278C,Seminar/Optimization,MATH278C
4634,SIO-102,Introduction to Geochemistry,SIO102
4635,TDDE-001,Intro/Design for the Theatre,TDDE1
4638,MATH-280A,Probability Theory I,MATH280A
4641,SIO-103,Introduction to Geophysics,SIO103
4648,GPIM-452,Big Data:Policy/Governing/Mgmt,GPIM452
4656,POLI-270,Math & Statistical Foundations,POLI270
4660,MATH-281A,Mathematical Statistics,MATH281A
4670,SIO-105,Sedimentology & Stratigraphy,SIO105
4673,MATH-282A,Applied Statistics I,MATH282A
4674,TDGE-011,Great Performances on Film,TDGE11
4675,COMM-196A,Honors Seminar I: Methods,COMM196A
4682,MATH-283,Stat Methods in Bioinformatics,MATH283
4688,TDAC-001,Introduction to Acting,TDAC1
4706,COMM-194,Research Seminar/Washington DC,COMM194
4717,MATH-286,Stochastic Differential Equatn,MATH286
4721,POLI-279,Special Topics in Methodology,POLI279
4727,POLI-280,Wrkshp: Intl Law & Regulation,POLI280
4728,POLI-281,Workshop: American Politics,POLI281
4735,COGR-200A,Intro Study/Comm as Soc Force,COGR200A
4744,COGR-200C,Intro Study/Comm&The Individul,COGR200C
4745,MATH-288,Seminar/Probability&Statistics,MATH288
4748,GPIM-457,Cost Benefit Analysis,GPIM457
4753,POLI-282,Workshop: Comparative Politics,POLI282
4757,TDPW-001,Introduction to Playwriting,TDPW1
4759,COGR-201B,Ethnographic Methds/Comm Rsrch,COGR201B
4767,MATH-290A,Topology,MATH290A
4772,POLI-283,Workshop:International Relatns,POLI283
4798,POLI-285,Workshop: Political Theory,POLI285
4801,POLI-286,Workshop: Methodology,POLI286
4803,MATH-295,Special Topics in Mathematics,MATH295
4813,MATH-297,Math Grad Research Internship,MATH297
4828,MATH-292,Seminar In Topology,MATH292
4836,MATH-299,Reading and Research,MATH299
4846,MATH-500,Teaching Assistant Training,MATH500
4856,SIO-170,Volcanology,SIO170
4864,GPPS-463,Politics of Southeast Asia,GPPS463
4865,MATS-201A,Thermodynamics of Solids,MATS201A
4876,COGR-225C,Colloquium in Science Studies,COGR225C
4883,MATS-202,MATS Academy I,MATS202
4919,SIO-194,Research Seminar/Washington DC,SIO194
4929,TDDE-111,Theatre Process - Costumes,TDDE111
4963,SIOG-228,Research Seminar,SIOG228
4977,MATS-227,Structure & Analysis of Solids,MATS227
4989,COGR-262,"Geog of Diff, Exclsn &Conflict",COGR262
5011,COGR-275,Topic/Communication/ProSeminar,COGR275
5023,MATS-236,Advanced Ceramics,MATS236
5046,ESYS-090,Undergraduate Seminar,ESYS90
5055,ESYS-101,Environmental Biology,ESYS101
5061,MATS-251A,Elect&Photon Props. Materials,MATS251A
5066,COGR-500,Practice Teaching/Communicatn,COGR500
5073,COGS-001,Introduction to Cognitive Sci,COGS1
5077,COGS-003,Introduction to Computing,COGS3
5097,ESYS-187A,Senior Internship Project I,ESYS187A
5099,MATS-257,PolymerScience&Engineering,MATS257
5106,COGS-009,Introduction to Data Science,COGS9
5111,GPPS-476,Chinese Sources and Methods,GPPS476
5112,COGS-010,Cognitv Consequence/Technology,COGS10
5127,COGS-011,Minds & Brains,COGS11
5130,MATS-295,Research Conference,MATS295
5137,MATS-299,Graduate Research,MATS299
5139,MBC-258,Marine Consrv/Comm Practicum 1,MBC258
5147,ETHN-001R,R-Intro: Land and Labor,ETHN1R
5159,COGS-014A,Intro. to Research Methods,COGS14A
5161,MCWP-040C,CritWrit: Climate Change,MCWP40C
5164,MCWP-040R,Critical Writing,MCWP40R
5167,ETHN-020R,R-Intro to Asian Amer Studies,ETHN20R
5170,PSYC-001,Psychology,PSYC1
5173,ETHN-087,First-year Seminar,ETHN87
5174,COGS-014B,Intro. to Statistical Analysis,COGS14B
5175,MCWP-125,Argument and Analysis,MCWP125
5177,PSYC-002,Gen Psych:Biological Foundatns,PSYC2
5185,COGS-015,Uncensored Intro. to Language,COGS15
5186,PSYC-003,Gen Psych:Cognitive Foundatns,PSYC3
5190,MCWP-500,Apprentice Teaching in MCWP,MCWP500
5193,COGS-017,Neurobiology of Cognition,COGS17
5198,ETHN-100A,Theoretical Approaches,ETHN100A
5199,COGS-018,Introduction to Python,COGS18
5217,PSYC-006,General Psychology: Social,PSYC6
5253,COGS-088,SustainableWell-Being/CogSci,COGS88
5271,PSYC-060,Introduction to Statistics,PSYC60
5277,TDMV-140,African Diaspora,TDMV140
5280,PSYC-070,Research Methods in Psychology,PSYC70
5283,PSYC-071,Lab/Psych Research Methods,PSYC71
5285,COGS-100,Cyborgs Now and in the Future,COGS100
5286,GPEC-485,The Korean Economy,GPEC485
5293,ETHN-110,Wrld Views/Indigenous America,ETHN110
5295,COGS-101A,Sensation and Perception,COGS101A
5299,PSYC-088,Learning Sustainable Wellbeing,PSYC88
5319,GPEC-488,Environmental & Reg Economics,GPEC488
5323,PSYC-101,Developmental Psychology,PSYC101
5326,COGS-107A,Neuroanatomy and Physiology,COGS107A
5328,ETHN-116,US-Mexico Bordr/Comp. Perspect,ETHN116
5332,PSYC-102,Sensory Neuroscience,PSYC102
5336,ETHN-119,Race in the Americas,ETHN119
5340,GPGN-490,Special Topics Course,GPGN490
5344,PSYC-122,Mechanisms of Animal Behavior,PSYC122
5348,COGS-107C,Cognitive Neuroscience,COGS107C
5350,PSYC-104,Social Psychology,PSYC104
5354,ETHN-122,Asian American Cult & Identity,ETHN122
5355,ETHN-122A,AsianAmerican Culture & Health,ETHN122A
5370,PSYC-105,Cognitive Psychology,PSYC105
5379,PSYC-106,Behavioral Neuroscience,PSYC106
5387,ETHN-127,Sexuality & Nation,ETHN127
5400,ETHN-133,Latinx Theatre and Performance,ETHN133
5405,TDDR-101,Stage Management,TDDR101
5406,PSYC-108,Cognitive Neuroscience,PSYC108
5447,COGS-109,Modeling & Data Analysis,COGS109
5449,TDAC-104,Classical Text,TDAC104
5465,PSYC-112,Health Sciences Research,PSYC112
5469,COGS-111,Beauty and the Brain,COGS111
5485,COGS-115,Neurologcl Devlp & Cogntv Chng,COGS115
5498,COGS-116,Developmental Cog Neuroscience,COGS116
5504,COGS-117,"Babies, Brains, and Machines",COGS117
5509,COGS-118A,Supvr/Mach Learning Algorithms,COGS118A
5525,COGS-118B,Intro to Machine Learning,COGS118B
5530,PSYC-116A,Lab/Clinical Psych Research I,PSYC116A
5545,ETHN-150,"Visuality, Sexuality, and Race",ETHN150
5554,COGS-118D,Comput Modeling and Analysis,COGS118D
5561,ETHN-152,Law and Civil Rights,ETHN152
5579,ETHN-155,U.S. Militarism,ETHN155
5593,TDPW-102,Advanced Playwriting,TDPW102
5629,COGS-123,Social Computing,COGS123
5632,ETHN-161,Black Poli&Protest since 1941,ETHN161
5636,COGS-124,HCI Technical Systems Research,COGS124
5639,PSYC-124,Clinical Assessment/Treatment,PSYC124
5640,COGS-125,Advanced Interaction Design,COGS125
5663,COGS-128,Information Visualization,COGS128
5682,COGS-102A,Cognitive Perspectives,COGS102A
5699,ETHN-166,Topic:Arab/Muslim Amer Identy,ETHN166
5703,COGS-108,Data Science in Practice,COGS108
5722,COGS-137,Practical Data Science in R,COGS137
5732,PSYC-132,Hormones and Behavior,PSYC132
5743,COGS-143,Animal Cognition,COGS143
5750,ETHN-171,Ethnic Studies and Education,ETHN171
5789,ETHN-179,Discover Jazz,ETHN179
5792,COGS-155,Gesture and Cognition,COGS155
5815,TDDE-132,UG Mainstage Production:Design,TDDE132
5817,COGS-163,Metabolic Disorders/Brain,COGS163
5826,COGS-165,Neuroimaging of Cognition,COGS165
5828,PSYC-137,Social Cognition,PSYC137
5829,COGS-160,Seminar on Special Topics,COGS160
5844,PSYC-138,Sound And Music Perception,PSYC138
5849,COGS-171,Mirror Neuron System,COGS171
5853,PSYC-169,Brain Damage & Mental Function,PSYC169
5861,JAPN-010A,First Year Japanese I,JAPN10A
5880,TDDE-131,Spec Topics in Theatre Design,TDDE131
5890,TDHT-111,Latinx Theatre and Performance,TDHT111
5907,PSYC-145,Psychology of Language,PSYC145
5909,ETHN-200A,Departures:Genealogy of Racial,ETHN200A
5910,JAPN-020A,Second Year Japanese I,JAPN20A
5936,TDDR-190,Major Project in Directing,TDDR190
5940,ETHN-230,Departmental Colloquium,ETHN230
6016,PSYC-154,Behavior Modification,PSYC154
6026,COGS-187A,Usability & Info. Architecture,COGS187A
6028,TDGE-199,Special Projects,TDGE199
6043,JAPN-130A,Third Year Japanese I,JAPN130A
6050,ETHN-289,Topics/Ethnic Studies Research,ETHN289
6060,COGS-188,AI Algorithms,COGS188
6068,ETHN-298,Directed Reading,ETHN298
6072,ETHN-299,Thesis Research,ETHN299
6075,JAPN-140A,Fourth Year Japanese I,JAPN140A
6076,ETHN-500,Apprntice Teaching/Ethn Stdies,ETHN500
6082,ETIM-289,Interdis Methds Sem Spec Topic,ETIM289
6084,COGS-190A,Projects in Cognitive Science,COGS190A
6100,JAPN-135A,Prof. Skills Japanese I,JAPN135A
6102,PSYC-100,Clinical Psychology,PSYC100
6103,MGT-003,Quant Methods in Business,MGT3
6107,MGT-004,Financial Accounting,MGT4
6115,MGT-005,Managerial Accounting,MGT5
6120,MGT-012,Personal Financial Management,MGT12
6126,JAPN-137A,Business Japanese I,JAPN137A
6133,MGT-016,Personal Ethics at Work,MGT16
6137,MGT-018,Managing Diverse Teams,MGT18
6145,COGS-194,Research Seminar/Washington DC,COGS194
6148,ERC-020,Frshmn Honors Sem:Intntl Theme,ERC20
6149,MGT-045,Principles of Accounting,MGT45
6153,MGT-052,Test & Measurement at Work,MGT52
6155,MGT-071,Operating Successful Business,MGT71
6161,MGT-071R,Operating Successful Business,MGT71R
6166,MGT-100,Customer Analytics,MGT100
6168,MGT-102,E-Commerce,MGT102
6171,MGT-103,Product Marketing & Management,MGT103
6174,MGT-105,Product Promotion & Brand Mgt,MGT105
6178,MGT-106,Sales and Sales Management,MGT106
6179,PSYC-171,Neurobiology-Learning & Memory,PSYC171
6182,FILM-071,Fundamentals of Cinematography,FILM71
6183,MGT-108R,Applied Market Research,MGT108R
6184,FILM-072,Fundamentals of Directing,FILM72
6186,MGT-109,Topics in Marketing,MGT109
6189,FILM-073,Fundamentals of Editing,FILM73
6191,PSYC-172,Psychology of Human Sexuality,PSYC172
6194,FILM-087,First-year Seminar,FILM87
6197,MGT-112,Global Business Strategy,MGT112
6201,FILM-179,Fundamentals of Animation,FILM179
6203,MGT-119,Topics in Business,MGT119
6206,MGT-121A,Innovation to Market A,MGT121A
6229,PSYC-174,Visual Cognition,PSYC174
6234,MGT-127R,AI & Technology Strategy,MGT127R
6248,JWSP-001,Beginning Hebrew,JWSP1
6251,COGS-210A,Introduction to Research,COGS210A
6258,PH-161,ClinicalNutrition/PublicHealth,PH161
6259,MGT-131A,Intermediate Accounting A,MGT131A
6262,PSYC-178,Industrial Organizational Psyc,PSYC178
6267,MGT-132,Auditing,MGT132
6268,PH-191,Topics in Public Health,PH191
6273,PH-193,Public Health Capstone I,PH193
6274,MGT-135,Federal Taxation-Companies,MGT135
6282,COGS-211A,Research Methods/Cogn Science,COGS211A
6285,MGT-137,Financial Statement Analysis,MGT137
6291,PSYC-181,Drugs And Behavior,PSYC181
6304,PHB-221,Biostatistical Methods I,PHB221
6313,MGT-151A,Business Analytics,MGT151A
6318,MGT-151R,Business Analytics,MGT151R
6320,TDGR-219,Directing Process Studio,TDGR219
6323,PHB-224,Biostat Methods in Clin Trials,PHB224
6324,MGT-153,Info Tech - Business Analytics,MGT153
6332,TDGR-220A,Process II: Classical Text I,TDGR220A
6342,PHB-227,Stat Learn & Multivar Analysis,PHB227
6351,PSYC-184,Choice and Self-Control,PSYC184
6353,MGT-160,Experiments in Firms,MGT160
6359,MGT-162,Negotiations,MGT162
6364,PHB-243A,PracticumBiostatistics A,PHB243A
6365,TDGR-221A,Speech for the Actor II,TDGR221A
6366,MGT-162R,Negotiations,MGT162R
6370,MGT-164,Business and Org Leadership,MGT164
6379,COGS-229,Design at Large,COGS229
6382,PHB-244A,Foundations in Biostatistics A,PHB244A
6386,MGT-166,Corp Social Responsibility,MGT166
6389,COGS-230,Interaction Design Research,COGS230
6390,JWSP-104,Practicum in Advanced Hebrew,JWSP104
6391,MGT-167,Social Entrepreneurship,MGT167
6392,PSYC-188,Impulse Control Disorders,PSYC188
6393,PHB-280,Biostat Journal Club,PHB280
6400,PH-291,Special Topics: Public Health,PH291
6401,TDGR-223A,Movement for Theatre II,TDGR223A
6409,MGT-172,Business Project Management,MGT172
6416,PH-400,Introduction to Biostatistics,PH400
6417,PSYC-189,"Brain, Behavior, and Evolution",PSYC189
6420,TDGR-224A,Voice for Theatre II,TDGR224A
6421,LATI-010,Lat Amer Studies&US Liberation,LATI10
6422,MGT-173,Project Mgt- Health Services,MGT173
6425,PH-401,Introduction to Epidemiology,PH401
6426,MGT-175,Supply Chain Management,MGT175
6428,LATI-050,Introduction to Latin America,LATI50
6436,TDGR-225A,Singing for Actor II,TDGR225A
6439,MGT-180,Business Finance,MGT180
6450,MGT-181,Enterprise Finance,MGT181
6456,PSYC-193,Topics in Psychology,PSYC193
6459,MGT-183,Financial Investments,MGT183
6472,LATI-166,Latin Food Ethno Amer,LATI166
6473,PSYC-193L,Psychology Laboratory Topics,PSYC193L
6477,LATI-170,Social Science Rsrch/Lat Am,LATI170
6480,PSYC-194A,Honors Thesis I,PSYC194A
6486,LATI-180,Special Topic/Lat Amer Studies,LATI180
6493,MGT-187,New Venture Finance,MGT187
6499,MGT-189,Topics in Finance,MGT189
6506,LATI-200,Core Sem/Latin Americn Studies,LATI200
6525,LATI-220,Special Topic/Lat Amer Studies,LATI220
6531,COGS-260,Seminar on Special Topics,COGS260
6537,PH-427,Mental Hlth Across/Life Course,PH427
6568,TDGR-239,Skills,TDGR239
6574,PH-441,Org&Financing/US HealthcareSys,PH441
6580,COGS-500,Teaching Apprenticeship,COGS500
6584,COMM-100A,"Comm, the Person&Everyday Life",COMM100A
6586,TDGR-240,Directing Seminar,TDGR240
6592,PH-491,Special Topics/Public Health,PH491
6618,TDGR-250,Playwriting Seminar,TDGR250
6631,TDGR-251,Playwriting Practicum,TDGR251
6634,PSYC-203,Department Proseminar,PSYC203
6648,MGT-225,Behavioral Economics,MGT225
6711,COMM-182,Education & Global Citizenship,COMM182
6730,LIAB-001A,Arabic Conversation,LIAB1A
6731,MGT-444,Topics in Business Strategy,MGT444
6747,MGT-252,Stat Programming & Data Inf I,MGT252
6749,PH-270,Culturl Prcepts/Health&Disease,PH270
6753,MGT-255,Psychology and Decision Making,MGT255
6758,PSYC-218,Area Prosem/Cognitive Psyc,PSYC218
6760,LIAB-001D,Arabic Conversation,LIAB1D
6790,MGT-420,Negotiation,MGT420
6794,PSYC-221,Sensation & Perception,PSYC221
6798,TDGR-270A,Design Studio I:Scenic Design,TDGR270A
6799,COMM-110M,LLC: Comm & Community,COMM110M
6809,MGT-262,Topics in Marketing Research,MGT262
6813,MGT-439,Topics/Organizational Behavior,MGT439
6838,PSYC-224,Current Directions/CNS,PSYC224
6846,PH-280,GlobalHealth&BehaviorPracticum,PH280
6861,LIFR-011,Elementary French Reading,LIFR11
6883,TDGR-274,Advanced Scenic Design,TDGR274
6908,LIFR-001A,French Conversation,LIFR1A
6909,TDGR-275,Advanced Lighting Design,TDGR275
6912,LIFR-001B,French Conversation,LIFR1B
6921,TDGR-276,Advanced Costume Design,TDGR276
6926,LIFR-001D,French Conversation,LIFR1D
6953,TDGR-278,Spec Topics in Theatre Design,TDGR278
6989,COMM-020,Media Analysis,COMM20
7001,LIGM-011,Elementary German Reading,LIGM11
7011,COMM-040,Promotional Communication,COMM40
7015,COMM-050,Presenting & Public Speaking,COMM50
7026,COMM-080,UCSD Speech & Debate,COMM80
7030,PH-040,Introduction to Public Health,PH40
7031,LIGM-001A,German Conversation,LIGM1A
7038,PSYC-242,Current Dir/Developmental Psyc,PSYC242
7041,MGT-296,Research/Mgmt for Dissertation,MGT296
7043,PH-050,Primary Care and Public Health,PH50
7049,COMM-101T,Media Prod Lab: Topics in Prod,COMM101T
7051,MGT-499,Individual Directed Study,MGT499
7054,LIGM-001D,German Conversation,LIGM1D
7055,PH-101,Epidemiology,PH101
7059,MGT-299,Individual Directed Study,MGT299
7064,COMM-106,Intro to Media Industries,COMM106
7070,TDGR-288,Stage Management Seminar,TDGR288
7075,PH-102,Biostatistics in Public Health,PH102
7079,MGT-403,Business Analytics/Managers,MGT403
7087,MGT-403R,Business Analytics/Managers,MGT403R
7091,MGT-404,Accounting,MGT404
7092,PSYC-247,Learning by Thinking,PSYC247
7098,PH-110,HealthBehavior/Chronic Disease,PH110
7102,MGT-405,Managerial Economics,MGT405
7104,TDGR-296,Stage Management Practicum,TDGR296
7107,MGT-405R,Managerial Economics,MGT405R
7110,MGT-406,Leading People,MGT406
7112,LIGN-005,Linguistics of Invented Lang,LIGN5
7116,LIGN-006,Computers and Language,LIGN6
7117,MGT-406R,Leading People,MGT406R
7120,LIGN-008,Languages & Cultures/America,LIGN8
7123,TDGR-297,Thesis Research,TDGR297
7124,COMM-113T,Intm Topics in Communication,COMM113T
7135,PH-130,Environment/OccupationalHealth,PH130
7139,COMM-114I,CSI: Media Tech&Social Mvments,COMM114I
7140,COMM-114J,CSI: Food Justice,COMM114J
7142,TDGR-299,Thesis Project,TDGR299
7153,LIGN-017,Making and Breaking Codes,LIGN17
7158,TDGR-500,Apprentice Teaching,TDGR500
7164,MGT-410,Strategy,MGT410
7175,MGT-410R,Strategy,MGT410R
7182,COMM-118A,Action Cinema,COMM118A
7185,TDGE-025,Public Speaking,TDGE25
7187,MGT-412,New Venture Design,MGT412
7189,COMM-119,Advanced Persuasion,COMM119
7202,MGT-412R,New Venture Design,MGT412R
7222,LIGN-007,Sign Languages&Their Cultures,LIGN7
7243,MGT-414R,Rady Action Project,MGT414R
7249,TDGE-124,Cult Films: Weirdly Dramatic,TDGE124
7250,COMM-142,Film Authorship,COMM142
7258,TDGE-125,Topics in Theatre and Film,TDGE125
7266,GLBH-020,Introduction to Global Health,GLBH20
7273,GLBH-100,Special Topics/Global Health,GLBH100
7280,GLBH-102,Global Health Epidemiology,GLBH102
7288,MGT-440,Supply Chain Cost Mgmt Strat,MGT440
7291,MGT-441,Strategic Sourcing,MGT441
7296,MGT-446,Spreadsheet Modeling,MGT446
7297,COMM-181,Citizen Consumers,COMM181
7303,MGT-451R,AI & Disruptive Tech Strategy,MGT451R
7311,COMM-190,Junior Seminar in Comm,COMM190
7314,TDGR-212,Acting Practicum: Skills,TDGR212
7316,LIGN-121,Syntax I,LIGN121
7328,GLBH-111,Health Frontiers in Tijuana,GLBH111
7330,MGT-458,Experiments in Firms,MGT458
7342,COMM-101D,MPL:Non-Linear Digital Editing,COMM101D
7343,LIGN-130,Semantics,LIGN130
7357,LIGN-139,Field Methods,LIGN139
7358,GLBH-116,GlobalHealth&InfectiousDisease,GLBH116
7359,PSYC-270A,Intro/Laboratory Experiment I,PSYC270A
7369,GLBH-118,Intro to GH Humanities,GLBH118
7372,GLBH-119,Global Health & NGOs,GLBH119
7374,MGT-487,Valuation in Corporate Finance,MGT487
7378,MGT-488R,Applied Market Research,MGT488R
7380,MGT-490,M&A and Corp Restructurings,MGT490
7381,GLBH-129,Meaning and Healing,GLBH129
7383,LIGN-143,The Structure of Spanish,LIGN143
7386,TDGR-245,Directing Practicum,TDGR245
7397,GLBH-141,Clinical Perspectives in GH,GLBH141
7398,PSYC-272,Selected Topics/Cognitive Psyc,PSYC272
7403,MGT-493R,New Venture Finance,MGT493R
7409,PSYC-274,Current Directions/Social Psyc,PSYC274
7414,MGTA-402,Data Driven Communications,MGTA402
7416,GLBH-148,Global Health&Cultrl Diversity,GLBH148
7418,TDGR-254,Television Writing,TDGR254
7428,PSYC-275,Current Directions/Cog Psyc,PSYC275
7437,PSYC-280,Sem/Communication&Info Resrch,PSYC280
7448,MGTA-452,Collecting/Analyzing Lrg Data,MGTA452
7452,MGTA-453,Business Analytics,MGTA453
7457,GLBH-171R,Global Mental Health,GLBH171R
7464,LIGN-150,Historical Linguistics,LIGN150
7465,GLBH-190,Global Health Careers,GLBH190
7466,PSYC-296,Research Practicum,PSYC296
7481,LIGN-154,Language and Consciousness,LIGN154
7482,COMM-102C,MMPP: Media & Design Practicum,COMM102C
7483,PSYC-299,Independent Research,PSYC299
7491,MGTA-457,Business Intelligence Systems,MGTA457
7492,PSYC-500,Apprentice Teaching,PSYC500
7496,GLBH-200,Global Health MA Core Seminar,GLBH200
7498,COMM-101K,MPL: Documentary Sketchbook,COMM101K
7506,MGTA-459,Managerial Judg/Decis Making,MGTA459
7511,LIGN-167,Deep Learning/Natural Language,LIGN167
7517,COMM-101N,MPL:Sound Prductn & Manipulatn,COMM101N
7520,MGTA-461,Web Mining and Recommender Sys,MGTA461
7526,GLBH-241,Clinical Perspectives in GH,GLBH241
7536,LIGN-171,Child Language Acquisition,LIGN171
7537,GLBH-248,Intro/Global Health Research,GLBH248
7540,TDGR-279,Design Practicum,TDGR279
7557,MGTF-401,Financial Accounting,MGTF401
7567,MGTF-402,Investment Analysis,MGTF402
7577,LIGN-175,Sociolinguistics,LIGN175
7580,MGTF-404,Fin Econometric/Empirical Mthd,MGTF404
7581,TDGR-292,Cultural & Critical Theory,TDGR292
7582,GPCO-408,PolAnalysis & PubWelfare,GPCO408
7584,MGTF-405,Business Forecasting,MGTF405
7593,TDGR-295,Acting Practicum,TDGR295
7595,GPEC-243,GIS & Spatial Data Analysis,GPEC243
7622,ENVR-030,Intro to Environmental Studies,ENVR30
7632,LIGN-188R,Intro to Research Methods,LIGN188R
7641,MGTF-415,Collect/Analyze Financial Data,MGTF415
7649,LIGN-199,Independent Study/Linguistics,LIGN199
7656,LIGN-200,Research Forum,LIGN200
7659,MGTF-418,Preparing for the CFA Exam,MGTF418
7677,GPEC-450,Macroeconomics of Development,GPEC450
7681,RELI-087,Freshman Seminar,RELI87
7710,MGTF-490,Capstone: Applied Finance Proj,MGTF490
7719,MGTF-495,Special Topics,MGTF495
7724,TMC-020,Thurgood Marshall Col Hnrs Sem,TMC20
7725,MGTP-401,Professional Seminar,MGTP401
7729,MGTP-414,Business Law,MGTP414
7736,LIGN-221,Syntax,LIGN221
7737,MGTP-421,Internal Control/Fin Reporting,MGTP421
7738,COSE-200,Leadership Values and Skills,COSE200
7742,COSE-220,Sustainable Innovation,COSE220
7744,GPIM-421,MarktplaceBehav&Survey Methods,GPIM421
7749,MGTP-424,Prof. Comms for Accountants,MGTP424
7756,MGTP-425,Prof. Research for Accountants,MGTP425
7765,MGTP-432,Adv. Auditing & Forensic Acct,MGTP432
7767,TDPR-102,Advanced Theatre Practicum,TDPR102
7771,RELI-144,Devils & Demons/Christianity,RELI144
7785,TDPR-104,Adv Practicum/Stage Management,TDPR104
7835,LIGN-230,Semantics,LIGN230
7848,RELI-188,Special Topics in Religion,RELI188
7849,TMC-015,Public Service in America,TMC15
7854,TMC-087,Freshman Seminar,TMC87
7859,RELI-189,Seminar in Religion,RELI189
7860,MMW-014,Divergent Paths to Modernity,MMW14
7876,LIGN-241,Fieldwork,LIGN241
7895,REV-001,First Year Experience,REV1
7897,COMM-106I,CI: Internet Industry,COMM106I
7906,REV-020,Revelle Honors Seminar,REV20
7912,MMW-015,The Contemporary Era,MMW15
7920,REV-087,First-year Seminar,REV87
7927,REV-088,Succeeding in Sci Research,REV88
7928,GSS-020,Intro to Global South Studies,GSS20
7944,LIGN-256,Statistical Natural Lang Proc,LIGN256
7962,MMW-011,Prehistory/Ancient Foundations,MMW11
7968,COMM-176,Communication and Religion,COMM176
8001,LIGN-280,Sign Language Research,LIGN280
8020,GPPA-464,Environmental Justice,GPPA464
8040,MMW-122,Exploring the Modern World,MMW122
8044,LIGN-293,Research Practicum,LIGN293
8061,MMW-501,Teaching/Making/Modern World,MMW501
8063,LIGN-296,Directed Research,LIGN296
8085,MSED-295,Orientation Practicum,MSED295
8087,LIGN-299,Doctoral Research,LIGN299
8099,LIGN-500,Ling Graduate IA Training,LIGN500
8107,LIGN-502,Apprentice Teaching/Linguistcs,LIGN502
8110,LIGN-503,Apprentc Teachn/Amer Sign Lang,LIGN503
8116,LIGN-504,Apprentice Teaching of French,LIGN504
8119,LIGN-505,Apprentice Teaching of German,LIGN505
8122,LIGN-506,Apprentice Teaching of Italian,LIGN506
8124,LIGN-507,Apprentice Teaching of Spanish,LIGN507
8127,LIGN-508,Apprentc Teachn/Directed Study,LIGN508
8130,LIGN-509,Apprentc Teachn/Head TA,LIGN509
8136,LIGN-510,Apprentice Teaching of Arabic,LIGN510
8140,LIGN-511,Apprentice Teaching/Portugese,LIGN511
8163,MSED-299,Reading and Research,MSED299
8187,GPPS-439,Eurasian Security,GPPS439
