module_id,code,name,filtered_data
1149,BENG-002,Intro Computer Prog & MATLAB,BENG2
1159,BENG-100,Intro to Prob & Stats for BENG,BENG100
1171,BENG-122A,Biosystems and Control,BENG122A
1183,BENG-133,Numerical Analys-Computatn Eng,BENG133
1185,BENG-135,Biomedical Signals & Systems,BENG135
1190,BENG-141,Biomedical Optics and Imaging,BENG141
1197,BENG-152,BioSystems Engineering Lab,BENG152
1202,BENG-161A,Bioreactor Engineering,BENG161A
1205,BENG-162,Biotechnology Laboratory,BENG162
1207,BENG-166A,Cell and Tissue Engineering,BENG166A
1209,BENG-168,Biomolecular Engineering,BENG168
1217,BENG-183,Applied Genomic Technologies,BENG183
1220,BENG-187B,BENG Design Project:Developmnt,BENG187B
1223,BENG-188A,Design Development in BENG,BENG188A
1231,BENG-195P,PLA Teaching,BENG195P
1232,BENG-196,Bioeng Industrial Internship,BENG196
1233,BENG-197,Engineering Internship,BENG197
1235,BENG-199,Independent Study/Undergrads,BENG199
1239,BENG-207,Topics in Bioengineering,BENG207
1245,BENG-216,NeuroIntegrated Bioelectronics,BENG216
1246,BENG-219,Data Sci Multiscale Biology,BENG219
1248,BENG-221,Mathematical Methods/Bioeng,BENG221
1253,BENG-226,Foundations of Bioeng I,BENG226
1254,BENG-230A,Biochemistry,BENG230A
1261,BENG-241A,Tissue Eng/Regenerat Med:Fndtn,BENG241A
1265,BENG-242,PolymerScience&Engineering,BENG242
1266,BENG-247A,Advanced BioPhotonics,BENG247A
1269,BENG-254,Synthetic Biology,BENG254
1276,BENG-280A,Principles/Biomedical Imaging,BENG280A
1279,BENG-282,Seminar: Faculty Research,BENG282
1285,BENG-294A,Patient-Cent Clinical Medicine,BENG294A
1288,BENG-295,BENG Design Proj & Industr Trn,BENG295
1292,BENG-299,Graduate Research,BENG299
1294,BENG-501,Teaching Experience,BENG501
1297,BGGN-202,Prof Develop for Biologists,BGGN202
1300,BGGN-206A,Concepts/Reasoning/Exprmt I,BGGN206A
1302,BGGN-207,Scientific Ethics,BGGN207
1303,BGGN-208,Biologicl Scien/Grad Boot Camp,BGGN208
1308,BGGN-213,Foundations of Bioinformatics,BGGN213
1334,BGGN-245,Adv Topics/Cancer Res&Therapy,BGGN245
1339,BGGN-249A,Molecular&CellularNeuroscience,BGGN249A
1366,BGGN-275,Lab Methodology,BGGN275
1367,BGGN-276,Lab Analysis,BGGN276
1377,BGGN-294,Transitional Lab Projects,BGGN294
1385,BGJC-204,Cellular & Moleculr Immunology,BGJC204
1392,BGJC-215,JC: Bio Ed Research,BGJC215
1429,BGSE-205,Graduate Research Seminar,BGSE205
1451,BICD-145,Lab in Molecular Medicine,BICD145
1455,BICD-194,Adv Topics-Cellular Dev,BICD194
1456,BIEB-102,Intro Eclgy/Organisms&Habitats,BIEB102
1464,SIO-132,Introduction to Marine Biology,SIO132
1477,BIEB-146,Genome Diversity and Dynamics,BIEB146
1478,SIO-147,Applications of Phylogenetics,SIO147
1480,BIEB-152,Evol of Infectious Diseases,BIEB152
1495,BILD-004,Introductory Biology Lab,BILD4
1496,BILD-005,Data Analysis/Design for Bio,BILD5
1514,BILD-062,Intro to Python for Biologists,BILD62
1523,BILD-087,First-year Seminar,BILD87
1524,BILD-088,Sustainable WellBeing Biology,BILD88
1550,BIMM-143,Bioinformatics Laboratory,BIMM143
1551,BIMM-143R,Bioinformatics Laboratory,BIMM143R
1568,BILD-001,The Cell,BILD1
1569,BILD-002,Multicellular Life,BILD2
1570,BILD-003,Organismic&Evolutionary Biol,BILD3
1575,BILD-010,Fundamental Concepts/Modrn Bio,BILD10
1590,BIBC-100,Structural Biochemistry,BIBC100
1591,BIBC-102,Metabolic Biochemistry,BIBC102
1593,BIBC-103,Biochemical Techniques,BIBC103
1595,BIMM-100,Molecular Biology,BIMM100
1600,BICD-110,Cell Biology,BICD110
1602,BICD-140,Immunology,BICD140
1608,BICD-130,"Embryos, Genes, & Development",BICD130
1617,BICD-100,Genetics,BICD100
1621,BIMM-122,Microbial Genetics,BIMM122
1623,BIMM-101,Recombinant DNA Techniques,BIMM101
1625,BIMM-120,Microbiology,BIMM120
1626,BIMM-121,Microbiology Laboratory,BIMM121
1630,BIPN-100,Human Physiology I,BIPN100
1631,BIPN-105,Human Physiology Lab,BIPN105
1636,BIPN-140,Cellular Neurobiology,BIPN140
1639,BIPN-145,Neurobiology Laboratory,BIPN145
1644,BIEB-164,Behav Ecology & Conservation,BIEB164
1647,BIEB-150,Evolution,BIEB150
1651,BIEB-121,Ecology Laboratory,BIEB121
1665,BISP-199,Individual Research for Ugrads,BISP199
1666,BGSE-200,Seminar in Biology,BGSE200
1681,BGGN-220,Graduate Molecular Biology,BGGN220
1712,BGGN-271,Adv Experimental Methods/Bio,BGGN271
1715,BGGN-298,Laboratory Projects in Biology,BGGN298
1716,BGGN-299,Thesis Research in Biology,BGGN299
1718,BIOM-200A,Molecules to Organisms:Concept,BIOM200A
1719,BIOM-200B,Molecules-Organisms:Approaches,BIOM200B
1721,BIOM-201,Seminars in Biomed Research,BIOM201
1723,BIOM-202,Biomed Sci Research Rotation,BIOM202
1724,BIOM-203A,Topics in Biomed Sciences I,BIOM203A
1736,BIOM-218,Current Topics in Anthropogeny,BIOM218
1753,BIOM-242,Seminar in Genetics,BIOM242
1779,BIOM-293,Grant Writing Essentials,BIOM293
1782,BIPN-103,Human Anatomy with Lab,BIPN103
1786,BIPN-118,Neuropharmacology,BIPN118
1789,BIPN-148,Cellular Basis Learning&Memory,BIPN148
1790,BIPN-150,Diseases of the Nervous System,BIPN150
1797,BIPN-189,"Brain, Behavior, and Evolution",BIPN189
1798,BIPN-194,Adv Topics-Phys/Neuro,BIPN194
1801,BISP-182,Cooperative Edu and Analysis,BISP182
1803,BISP-194,Adv Topics in Modern Biology,BISP194
1806,BISP-195P,Pedagogy Learning Apprentice,BISP195P
1810,BNFO-281,Sem in Bioinformtcs & Sys Biol,BNFO281
1811,BNFO-283,BNFO Student Research Talks,BNFO283
1816,BNFO-298,Research Rotation,BNFO298
1817,BNFO-299,Graduate Research,BNFO299
1818,BNFO-500,Teaching Assistanship,BNFO500
1825,CAT-001,"Culture, Art, and Technology 1",CAT1
1835,CAT-090,Experiential Learning Seminar,CAT90
1840,CAT-124,Sixth College Practicum,CAT124
1843,CAT-125,Public Rhetoric & Prac Comm,CAT125
1845,CAT-125R,Pub Rhet & Prac Comm Online,CAT125R
1855,CCE-001,CriticalApproach/CommPractice,CCE1
1856,CCE-002,Cultivat/CommInformedPractices,CCE2
1857,CCE-003,Elements/CommEngageColResearch,CCE3
1858,CCE-110,Foundations/CommPartnership,CCE110
1859,CCE-120,CommPartnership/ProjDesign,CCE120
1860,CCE-500,Apprentice Teaching in CCE,CCE500
1866,CENG-004,Experience Chemical Eng,CENG4
1868,CENG-015R,Eng Comp Using MATLAB Online,CENG15R
1871,CENG-110,Material&Energy Balances/Appl,CENG110
1876,CENG-170,Experimental Methods/ChemEng,CENG170
1881,CENG-205,Grad Sem./Chem&NanoEngineering,CENG205
1885,CENG-211,Intro to NanoEngineering,CENG211
1890,CENG-221A,Heat Transfer,CENG221A
1900,CENG-299,Graduate Research/Chemical Eng,CENG299
1946,PH-258,Public Health Seminar,PH258
1949,PH-259,Epidemiology Practicum,PH259
1976,CGS-002A,"Intro/CGS: Key Terms, Concepts",CGS2A
1978,CGS-087,First-year Seminar,CGS87
1980,CGS-100A,Conceptualizing Gndr: Theories,CGS100A
1982,CGS-101,Gender & Globalization,CGS101
1994,CGS-111,Gender and the Body,CGS111
1995,CGS-112,Sexuality & Nation,CGS112
1996,CGS-113,Gender & Sexuality in the Arts,CGS113
2010,CGS-134,Gender and Climate Justice,CGS134
2015,CGS-150,"Visuality, Sexuality, and Race",CGS150
2025,CHEM-004,Chemical Thinking,CHEM4
2028,CHEM-006A,General Chemistry I,CHEM6A
2030,CHEM-006B,General Chemistry II,CHEM6B
2033,CHEM-006C,General Chemistry  III,CHEM6C
2037,CHEM-007L,General Chemistry Laboratory,CHEM7L
2048,CHEM-041A,Organic I: Struct & React,CHEM41A
2050,CHEM-041C,Organic III: SynthReact&Macro,CHEM41C
2051,CHEM-087,Freshman Seminar,CHEM87
2056,CHEM-096,Introductn to Teaching Science,CHEM96
2060,CHEM-100A,Analytical Chemistry Lab,CHEM100A
2074,CHEM-108,Protein Biochemistry Lab,CHEM108
2075,CHEM-109,Recombinant DNA Laboratory,CHEM109
2077,CHEM-114A,Biochemical Structure&Function,CHEM114A
2081,CHEM-114D,Molecular & Cellular Biochem,CHEM114D
2084,CHEM-116,Chemical Biology,CHEM116
2086,CHEM-117,Biomed Res in Hlth Disparities,CHEM117
2097,CHEM-126A,Phys Biochem: Thermodynamics,CHEM126A
2099,CHEM-130,Chem Physics: Quantum Mech,CHEM130
2105,CHEM-040A,Organic Chem for Life Sci I,CHEM40A
2107,CHEM-040B,Organic Chem for Life Sci II,CHEM40B
2116,CHEM-142,Intro to Glycosciences,CHEM142
2117,CHEM-043A,Organic Chemistry Laboratory,CHEM43A
2119,CHEM-143B,Organic Chemistry Lab II,CHEM143B
2127,CHEM-152,Synthetic Methods/Organic Chem,CHEM152
2128,CHEM-171,Environmental Chemistry I,CHEM171
2136,CHEM-163,Intro to Mass Spectrometry,CHEM163
2180,CHEM-232A,Statistical Mechanics I,CHEM232A
2186,ECON-159,Economic Hist/United States II,ECON159
2187,CHEM-209,Macromolecular Recognition,CHEM209
2203,CHEM-213A,Struct Biomolecule Assemblies,CHEM213A
2207,CHEM-214,Molecular & Cellular Biochem,CHEM214
2216,CHEM-216,Chemical Biology,CHEM216
2222,ECON-168,Economics of Modern Israel,ECON168
2229,CHEM-219A,Special Topics in Biochemistry,CHEM219A
2247,CHEM-222,Structure & Analysis of Solids,CHEM222
2252,CHEM-223,Organometallic Chemistry,CHEM223
2257,CHEM-224,Spectroscopic Tech/Organmetalc,CHEM224
2266,MAE-244,Renewable Energy Integration,MAE244
2273,CHEM-227,Seminar/Inorganic Chemistry,CHEM227
2286,CHEM-231,Chem Kinetics&Mole Reactn Dynm,CHEM231
2287,MAE-249,Soft Robotics,MAE249
2292,MAE-251,Structure & Analysis of Solids,MAE251
2296,CHEM-234,Photochemistry & Photophysics,CHEM234
2302,MAE-253,Advanced Ceramics,MAE253
2314,MAE-257,PolymerScience&Engineering,MAE257
2338,MAE-265A,Elect&Photon Props. Materials,MAE265A
2346,CHEM-242,Intro to Glycosciences,CHEM242
2352,TDDM-001,Introduction to Dance Making,TDDM1
2379,TDGE-040,Dance and Social Movement(s),TDGE40
2380,MAE-271A,Thermodynamics of Solids,MAE271A
2396,ECON-181,Topics in Economics,ECON181
2398,CHEM-252,Synthetic Methods/Organic Chem,CHEM252
2401,ECON-182,Topics in Microeconomics,ECON182
2405,POLI-102G,Spec Topics/American Politics,POLI102G
2407,MAE-274,Model Reduction,MAE274
2427,ECON-186,Careers in Econ and Business,ECON186
2458,ECON-191A,Senior Essay Seminar A,ECON191A
2462,ECON-191B,Senior Essay Seminar B,ECON191B
2481,MATH-010A,Calculus I,MATH10A
2489,ECON-195P,Pedagogy & Learning Apprentice,ECON195P
2493,CHEM-263,Intro to Mass Spectrometry,CHEM263
2494,MATH-010B,Calculus II,MATH10B
2503,ECON-200A,Microeconomics A,ECON200A
2506,MATH-010C,Calculus III,MATH10C
2515,MATH-002,Intro to College Mathematics,MATH2
2535,TDGR-229,Theatre Externship,TDGR229
2539,MATH-020A,Calculus/Science & Engineering,MATH20A
2548,TDGR-244,New Plays Workshop,TDGR244
2552,MATH-020B,Calculus/Science & Engineering,MATH20B
2569,CHEM-280,Applied Bioinformatics,CHEM280
2571,TDGR-280A,Stage Management 1,TDGR280A
2580,MATH-020C,Calculus&Analyt Geom/Sci&Engnr,MATH20C
2584,POLI-104J,Introduction/Legal Reasoning,POLI104J
2585,TDGR-282,Advanced Sound Design,TDGR282
2587,TDGR-289,Intro to Doctoral Studies,TDGR289
2592,POLI-104M,Law and Sex,POLI104M
2600,TDGR-289D,Professionalization Seminar,TDGR289D
2602,ECON-205,Mathematics for Economists,ECON205
2609,CHEM-291,Molecular Biophysics Seminar,CHEM291
2618,CHEM-292,Chem-Biol Interfaces Seminar,CHEM292
2620,MATH-020D,Intro/Differential Equations,MATH20D
2625,POLI-104U,Introduction to Business Law,POLI104U
2630,CHEM-294,Organic Chemistry Seminar,CHEM294
2631,TDHD-175,Cultural Perspectives on Dance,TDHD175
2637,ECON-210A,Macroeconomics A,ECON210A
2645,TDHT-010,Introduction to Play Analysis,TDHT10
2647,TDHT-021,Ancient and Medieval Theatre,TDHT21
2650,CHEM-299,Research in Chemistry,CHEM299
2656,MATH-018,Linear Algebra,MATH18
2663,CHEM-509,Teaching Methods in Chemistry,CHEM509
2672,TDHT-109,African American Theatre,TDHT109
2674,MATH-020E,Vector Calculus,MATH20E
2694,MATH-003B,Foundations of Precalculus,MATH3B
2701,MATH-003C,Precalculus,MATH3C
2707,TDMV-011,Theatrical Tap,TDMV11
2712,TDMV-020,Movement Lab,TDMV20
2715,TDMV-110,Intermediate Ballet,TDMV110
2721,MATH-004C,Precalculus for Sci & Engn,MATH4C
2747,MATH-011,Calculus-Based Prob & Stats,MATH11
2751,ECON-220A,Econometrics A,ECON220A
2756,TDMV-120,Intermediate Contemp Dance,TDMV120
2764,ECON-220D,Econometrics D,ECON220D
2768,POLI-111B,Global Justice/Theory & Action,POLI111B
2776,CHIN-010AD,First-Yr Chinese/Dialect I,CHIN10AD
2781,CHIN-010AM,First-Yr Chinese/Mandarin I,CHIN10AM
2784,ECON-221,Advanced Topics/Econometrics,ECON221
